country,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01
Belize,0,0,3,15,0,6,24,916,927,1491,2265,5021,1209,416,122,224,152,398,925,1898,4283,6503,3367,1902,18420,6110,656,238,1558,4523,3539,1191,524,117,105,898,664,130
Benin,0,0,3,81,155,960,606,340,212,286,331,277,535,1848,1679,508,237,141,195,7538,7958,859,114,181,1454,77,20,10,309,302,100,219,247,133,66,5,5,8
Bermuda,0,0,22,89,29,6,10,13,12,18,52,344,96,14,431,1238,117,23,39,291,2323,480,83,601,4221,938,983,1086,1196,1202,1236,720,241,186,123,159,144,33
Bhutan,0,0,4,3,36,34,25,123,57,66,48,274,189,8,6,201,546,480,415,81,5,20,19,20,2231,7811,15399,31062,465,143,759,613,932,305,123,28,74,15
Bolivia (Plurinational State of),0,0,97,956,7678,22793,42010,41820,18869,7261,3108,12295,56505,34499,22456,31484,64883,68854,36390,18098,9592,13464,23360,55301,258424,43133,8613,2940,3776,14864,108500,68797,7309,1308,1440,45280,31528,5248
Bonaire,0,0,0,2,0,0,3,2,90,37,8,20,200,44,909,215,55,33,60,75,279,340,475,447,3032,590,275,1093,271,255,258,259,92,97,97,154,61,20
Bosnia and Herzegovina,0,0,406,1271,817,1831,7119,8349,7433,20911,39137,23711,10906,9799,35964,30212,6112,1026,651,7724,20396,19982,20462,16252,56180,24416,4265,1755,801,742,7112,9888,3038,1263,596,473,384,252
Botswana,0,0,3,20,12,140,629,829,1539,3470,3877,4118,6986,9104,10151,8531,8107,13927,43777,44097,19903,8061,8021,26751,30983,51479,1227,458,414,16713,2397,534,74,21,414,1264,1423,304
Brazil,0,1,4255,67630,393280,878977,1208122,1293888,899311,748912,795896,1273279,1554962,1337117,2117985,1947674,1950311,1976802,1390967,902446,639975,411611,287505,182928,2950788,3529428,1138347,536523,534659,1253375,1583744,606507,256985,169879,364517,1113829,491846,230156
British Virgin Islands,0,0,2,4,2,0,0,29,34,1,1,20,48,12,1,40,95,9,2202,68,108,49,48,483,2619,210,56,214,410,176,190,160,14,0,0,0,0,0
Brunei Darussalam,0,0,127,11,3,0,0,3,2,2,2,7,23,6,24,14,18,18,76,2305,4309,6115,1993,412,943,43034,74279,8022,6647,15132,42633,16899,6606,11379,20396,8759,6626,1873
